species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_ratio,body_prop
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,3.08974358974359,0.043333333333333335
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,3.1418918918918917,0.04173076923076923
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,3.0933333333333333,0.04595744680851064
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,3.0375,0.039655172413793106
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,3.3450704225352115,0.04543478260869565
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,3.1349693251533743,0.03666666666666667
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,3.2753623188405796,0.045263157894736845
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,2.75609756097561,0.03747899159663866
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,3.386206896551724,0.04583783783783784
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,3.3653846153846154,0.04055045871559633
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,3.2465753424657535,0.04486772486772487
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,3.144654088050314,0.041869158878504675
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,3.253623188405797,0.04463157894736842
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,2.936416184971098,0.04071428571428572
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,3.013888888888889,0.04739130434782609
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,3.612676056338028,0.041132075471698115
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,3.392857142857143,0.043487179487179485
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,3.0647058823529414,0.04144144144144144
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,3.1666666666666665,0.04404040404040404
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,3.052631578947368,0.042222222222222223
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,3.1379310344827585,0.04463157894736842
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,3.074534161490683,0.03964601769911504
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,3.0272108843537415,0.044123711340206186
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,3.2356687898089174,0.04346153846153846
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,3.1265822784810124,0.04385786802030457
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,3.212328767123288,0.04553846153846154
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,3.3611111111111107,0.04389189189189189
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,3.096969696969697,0.04285714285714286
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,3.2333333333333334,0.045154639175257735
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,3.288235294117647,0.04071428571428572
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,3.045161290322581,0.04321608040201005
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,3.2733333333333334,0.04145454545454545
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,3.4275362318840576,0.045714285714285714
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,2.9068322981366457,0.03909090909090909
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,2.8367346938775513,0.04468085106382979
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,3.3797468354430378,0.039818181818181815
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,3.0928571428571425,0.04546448087431694
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,3.185430463576159,0.038
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,3.322368421052632,0.0432
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,3.132075471698113,0.038487394957983194
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,2.861842105263158,0.045806451612903226
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,3.1595092024539877,0.04181818181818182
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,3.276595744680851,0.0496
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,3.44375,0.039316239316239315
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,2.8343949044585988,0.04451282051282051
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,3.0123456790123457,0.037
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,3.445255474452555,0.04345177664974619
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,3.2727272727272725,0.0443298969072165
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,3.210191082802548,0.03860869565217391
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,3.054054054054054,0.040769230769230766
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,3.0993788819875774,0.03944444444444444
